Tweet Datetime,text,location
2021-10-13 13:19:26,besok ptm, lmh hhj ksm mk
2021-10-13 13:19:17,"@sgawarau HII 😍 sekolah dong tapi daring aja, ptm nya ga tau bila 😔👍🏻",
2021-10-13 13:19:01,@Minheenuna__ Udah PTM ya??,"fujo⚠️ʳᵖˢ"" , O4l"
2021-10-13 13:18:30,"📋[13/10/21]

halooo maaf yaa jarang up progress, hari ni cuman ngerjain tugas PKN doang yg deadline jam 12 and aku ngumpulinnya mepet sm deadline😩 besok aku PTM lagi, yang bsok PTM juga semangat yaaa selamat bobo😉

btw aku suka nontonin vid nya si eja, mood bgt pls🤕💘 https://t.co/yyUKtKEFPz",non studytwt dni
2021-10-13 13:18:11,@fakedrian PTM ANJIR MASLAH NYA. MANA MAPEL DIA PERTAMA,cyberant.
2021-10-13 13:18:02,"RT @thestudyneeds: ✨ HAND SANITIZER FOR WFO/PTM STARTER PACK ✨

Referensi hand sanitizer buat yang mulai work from office dan sekolah tatap…",indonesia
2021-10-13 13:17:54,daring+ptm+praktek+tugas https://t.co/dgjhV256Ra,
2021-10-13 13:17:49,@convomfs Besok ptm ga,
2021-10-13 13:17:20,Pembelajaran Tatap Muka (PTM) Perlu Segera Dilakukan Guna Mendorong Kemajuan Prestasi Siswa Ditengah Pandemi Covid-19 https://t.co/y0IkT4yxsw,
2021-10-13 13:17:14,OMG WAW SUDAH SIAP PTM https://t.co/MR9lGfqOIb,
2021-10-13 13:16:27,"tmi aku hari ini adalah, aku ptm trus cape bgt t____t pulang"" lgsg bersih"" and istirahat deh 😓👍🏻 https://t.co/2twFdLbN8L",she/her
2021-10-13 13:16:04,besok ptm sekarang ngerjain tugasnya,
2021-10-13 13:15:57,"RT @BTS_twt: Baby G Saengil Chooka
#지민생일ㅊㅋ https://t.co/qR5r2M0C17",No se
2021-10-13 13:15:56,"@_kimjnie dri senin udh mulai ptm, cmn ngga setiap hari :)",@mamaierrie | they/she
2021-10-13 13:15:25,"@matchasnoo Aww thankyou puraa, u too jangan lupa dinner dan jangan cape² yaa kan kamu PTM klo bisa minum vitamin yaa buat jaga stamina","05z,She/her 🇮🇩,✨02z biased✨"
2021-10-13 13:15:18,@baechuroz btw besok ptm/daring?,
2021-10-13 13:14:57,@My_Hyunsuk21 Akdhsjaja jan sampee teriakepas ptm 😭😭,he/him
2021-10-13 13:14:23,@_kimjnie aku udah ptm dari sebelum pts hehe,08.00-22.00
2021-10-13 13:14:19,@sunghblush_ W PTM SIBUK PTS 🤧🤧,03:10:21 riki update!! 
2021-10-13 13:13:46,@jjhzens btw besok ptm/daring?,
2021-10-13 13:13:45,"@awanakbaik Masi daring akjsksk, km uda ptm ya seru bgt. Makasihh semangattt juga 😽",hate-love relationship w tugas
2021-10-13 13:13:45,@taadoz daringg taa. bagian ptm aku kemarin selasa hehe,
2021-10-13 13:13:35,"Ak muk PTM 😘
Kalian gimana gais??", 06.00 - 01.00/ngantuk
2021-10-13 13:13:10,besok gue ptm pertama kali.. takut..,"Yogyakarta, Indonesia"
2021-10-13 13:12:59,"@studyypendaa kamu masi daring apa uda ptm deh nda? hari ini hari baikk wkwk seru tadi sekolah, semangatt nugas cyank",she/her magic
2021-10-13 13:12:38,"gw telat masuk sekolah 20 menit, pas masuk kelas gw jd pusat perhatian karena gw satu-satunya murid yang telat, padahal hari ini hari pertama ptm tp gw malah telat https://t.co/7sUpVc2orG",neocity
2021-10-13 13:12:20,"@taadoz masih daring, jumat nya baru ptm",she/her || kinda slctv
2021-10-13 13:12:13,@27117_pcy btw besok ptm/daring?,
2021-10-13 13:12:11,@Syaa_sasa aturan ptm kan gurunya gaboleh muter ke murid gitu jadi ya gatau klo ada murid yg batuk batuk,
2021-10-13 13:12:04,@oyongkim btw besok ptm/daring?,
2021-10-13 13:11:54,@jaelovva btw besok ptm/daring?,
2021-10-13 13:11:49,"[13-10-21]

haii
hari ini aku ptm gaisss n presentasi offline setelah sekian lama ga presentasi langsung tremor banget skill ngomong depan orang kayak menurun zzz. hari ini belajar pk n kimiaaa 

rest well gaisss https://t.co/6IOq2KjpHG",
2021-10-13 13:11:34,@goeshollic btw besok ptm/daring?,
2021-10-13 13:11:21,@n_ezzati34 Eh PTM reply tweet saya 😳,MY
2021-10-13 13:11:13,"@gyusmall iyaa, alhamdulilah aku masih bisa ikutin pelajaran maupun daring juga, tapi untungnya sekolahku ngga total ptm tapi bergulir kadang ptm kadang daring",yeonjun my boyfie
2021-10-13 13:10:06,"@convomfs Kaga nugas kaga belajar, cuman pas ptm memperhatikan guru aja jujur hahahahahahahaahahahahahaahahahahaha",ga
2021-10-13 13:10:00,mingdep ptm 🤢🤢🤢,rant ً
2021-10-13 13:09:55,OIYAAAAA BESOK PTM:),akun misuh - gausa kepo 
2021-10-13 13:09:53,Sekolah gw bau2 mau PTM sksmsksnsksnsjsn mager bgt,she/her | INFJ-T 
2021-10-13 13:09:51,@convomfs gatauuu aku belom ptm,( she/her ) suka mark lee 24/7
2021-10-13 13:09:31,Lit ptm mgk ruins everything https://t.co/IL6Q9GdQZq,"Lima, Perú"
2021-10-13 13:09:30,yey jadwal ptm diganti jd bs barengan my bestie🤩,jasmine tea 
2021-10-13 13:09:13,"@yeongyuz_ menurutku lebih baik di rumah sih. restu atau izin dari orang tua itu nomer 1, jadi kalo misal ga diizinkan buat ptm. yaa mau ga mau harus daring",she/they | 17 🇮🇩
2021-10-13 13:08:55,"@schfess izin nder, lagipula klo masuk ptm harus sehat ntar belajarnya jg kurang maksimal",1430
2021-10-13 13:08:34,BESOK PTM ATAU ENGGA??,dirumah si kayanya
2021-10-13 13:07:59,@aylinnyma ahg ya se ptm,México
2021-10-13 13:07:52,@schfess Aku tadi sejarah minaat gaada di google semua nder tapi untung pas bab ke 2 udh ptm jadi ngerti sebagian,🔞
2021-10-13 13:07:31,"@sanoshinchiro kirain dah ptm, mangat ya. jgn lupa dinner okay.","anicyber, she/they"
2021-10-13 13:07:22,"@aradayss Iyaa ini aku juga dari sekolah sih wkwkwk, siap ntar aku chat maraaa yaaa. Tenang gak pagi kok, paling siang sih soalnya aku sambil ptm swab nyaa sksksksk",
2021-10-13 13:06:52,"@tyuniedy iyaa kak, tapi sekolahku ngga ptm selalu sih, minggu depan kebagian daring kelasku jadi yaa alhamdulilah aku masih bisa ikutin pelajaran maupun daring juga",yeonjun my boyfie
2021-10-13 13:06:21,"—13.10.2021

hari ini ptm pertama kls 8, tapi aku sesi dua jd belum ke sekolah hehe https://t.co/r5ga4dzXO7",she/her
2021-10-13 13:06:18,"—131021

hari inii ptm n dirumah aku cuma belajar dr quizziz sm duolingo😵‍💫
anw ini day 3 #20DAYSKONSIBERS 

gnite semuanyaa!! u did well today, restwell ok?😵💗 https://t.co/4xd8z4BxrR",last year of jhs; 14
2021-10-13 13:05:55,"To : azika 
lo kenapasih,pas ptm tadi kayak banyak pikiran gitu? Atau gue yang salah liat",
2021-10-13 13:05:36,@bertanyarl gi ptm https://t.co/AOyqN44IIu,(-) suka berkata kasar 
2021-10-13 13:05:26,bismillah nnti ptm lancar lancar aj,
2021-10-13 13:05:26,bsk ptm 😁😁,
2021-10-13 13:04:45,"Kalau dilihat-lihat, nanti kayaknya pas PTM aku bakal jadi most wanted dadakan. PLEASE INI YANG CHAT AKU AJAK KENALAN BANYAK BANGET 😭","she  her   𔔡   rcbyf ︕ ✯__★
fan account   ʚĭɞ   횡현진?! ☘︎
★✩ bilingual  𑁍  𝐞𝐧𝐠 ʕ•◡•ʔ 𝐢𝐧𝐚
天使の本物の完璧なすべて ♡︎♥︎♡︎"
2021-10-13 13:04:20,"Kenapa sih baru PTM banyak banget ulangan stress ajg 
Mana soal gk ngotak 
Di kira kmi mau olimpiade apa 😭 
Dah muk mati sja",
2021-10-13 13:04:05,"@yjwmeals Hi kak naa, rest well ya! Semangat ptm nyaa",she/her 06
2021-10-13 13:04:04,Pembelajaran Tatap Muka (PTM) Perlu Segera Dilakukan Guna Mendorong Kemajuan Prestasi Siswa Ditengah Pandemi Covid-19 https://t.co/ikbloGYaGb,
2021-10-13 13:03:52,BESOK PTM KETEMU BAHASA ARAB AAAAAAAA,minor
2021-10-13 13:03:44,"@convomf 5, antara pgn ptm gara-gara ogah dikasih tugas melulu, sama enggak pgn ptm gara-gara sering insecure sama circle temen skls gw (gw udah pernah ptm 1x)",mark's heart
2021-10-13 13:03:43,Besok ptm mana presentasi b indo 🙂🙂🙂,
2021-10-13 13:03:04,senin ptm gue belum beli kerudung GMNNNNNSN,dnf dnss❕
2021-10-13 13:02:35,"""dmnkah kls klian?"" gatau bu saya blom ptm",rant
2021-10-13 13:01:22,"@sgmaxh Pngn jamkos
Ah curang mainnya gitu, hari ini jadwal ptm absen lain banyak kosong e 👎🏻 https://t.co/66l2XCz056",
2021-10-13 13:00:50,@jacckarta Ptm nyebelin :),태현♡
2021-10-13 13:00:29,🤍 guys mau nanya yg udah ptm seru ga? aku kok deg²an mau ptm  :((,
2021-10-13 12:59:58,"knp ptm nya ga seminggu sekali aja yaa, kn w hrus ngisi tenaga buat punya mood nya",cc
2021-10-13 12:59:37,Jokowi Kebanggan Kita ptm harus segera diterapkan https://t.co/hDaaE2UHEy,
2021-10-13 12:59:27,"tadi pas ptm aq ngegep cewe liatin aq mulu, pas aq nengok dia mlengos,,,, aq juga suka liatin dia pas zoom sieh awokaqokawok
#geer",
2021-10-13 12:59:09,Besok fisika kimia ptm. Hy GWS aku,she/her
2021-10-13 12:58:12,Jokowi Kebanggan Kita ptm perlu https://t.co/vk7eMQEjIp,
2021-10-13 12:58:00,@convomfs aku ga siap ptm 💔,she / her
2021-10-13 12:57:24,BESOK PTM GUE MALES BANGET,"rant, dnf"
2021-10-13 12:56:21,@cimolcimin Sekolah gw lulus jadi sekolah penggerak PTM Jum 😀✊,JKT-SOC
2021-10-13 12:56:05,"Pembelajaran Tatap Muka (PTM) Perlu Segera Dilakukan Guna Mendorong Kemajuan Prestasi Siswa Ditengah Pandemi Covid-19"" Jokowi Kebanggaan Kita https://t.co/H7jSE1HYg3","Kota Yogyakarta, Yogyakarta"
2021-10-13 12:56:00,KENAPAA WAKTU JADWALKU PTM SELALU KEDAPETAN ADA UH SIH,she/her
2021-10-13 12:55:57,Kunci Sukses Babak Baru PTM Terbatas Adalah Guru - https://t.co/2pBzOTKBso,Jakarta
